# ratio, target_T(K), P(kBar), E(eV/atom), T(K)
0.9976 3500 357.392 -6.52782 3484.4
0.9976 4000 392.259 -6.34888 3986.56
0.9976 4500 414.849 -6.20581 4490.82
0.9976 5000 440.341 -6.03057 4985.09
0.9976 5500 464.802 -5.8399 5502.47
0.9908 4500 457.852 -6.13853 4491.29
0.9908 5000 482.926 -5.97968 4988.36
0.9908 5500 515.552 -5.80907 5487.19
0.9908 6000 546.069 -5.62578 5983.95
0.9908 6500 559.122 -5.4858 6484.21
0.9762 4500 547.467 -6.08939 4488.69
0.9762 5000 585.103 -5.90492 4984.71
0.9762 5500 596.386 -5.76466 5483.72
0.9762 6000 635.56 -5.56693 5973.32
0.9405 4500 864.937 -5.82739 4481.82
0.9405 5000 884.541 -5.68183 4981.19
0.9405 5500 937.855 -5.49733 5485.11
0.9405 6000 973.85 -5.32196 5977.41
0.9405 6500 995.541 -5.16226 6485.35
0.9236 5500 1143.63 -5.30084 5476.78
0.9236 6000 1173.45 -5.20289 5970.8
0.9236 6500 1211.58 -4.9558 6472.56
0.9236 7000 1256.9 -4.80421 6971.38
0.9236 7500 1280.49 -4.63693 7466.92
0.9976 8000 589.268 -4.9724 7981.14
0.9908 8000 631.677 -4.96952 7983.03
0.9762 8000 749.718 -4.84342 7982.11
0.9976 7000 545.448 -5.33689 6982.94
0.9908 7000 589.192 -5.305 6979.54
0.9762 7000 691.784 -5.21409 6983.42
0.9236 8000 1320.52 -4.4734 7975.24
1.0233 3000 231.005 -6.70553 2982.97
1.0233 3500 260.19 -6.54495 3493.78
1.0233 4500 306.346 -6.2531 4491.43
1.0233 5000 319.724 -6.07482 4990.86
0.9106 5500 1339.18 -5.17348 5479.51
0.9106 6000 1363.95 -5.03446 5967.59
0.9106 6500 1403.02 -4.84611 6473.65
0.9106 7000 1451.25 -4.62133 6969.39
0.9106 8000 1540.16 -4.2645 7965.29
1.0486 3000 172.535 -6.74141 2995.62
1.0486 3250 177.01 -6.65516 3239.8
1.0486 3500 185.281 -6.59102 3492.9
1.0486 3750 193.82 -6.52218 3742.73
1.0486 4000 196.875 -6.44756 3994.9
1.0772 2000 73.7414 -7.06206 1989.95
1.0772 2500 95.2921 -6.92709 2495.9
1.0772 3500 116.019 -6.62098 3488.05
1.0772 4000 135.983 -6.47014 3985.84
