# ratio, target_T(K), P(kBar), E(eV/atom), T(K)
0.9236 7000 1026.73 -5.65512 6965.22
0.9236 6000 963.422 -5.90775 5986.94
0.9236 5000 897.556 -6.16658 4977.28
0.9236 4000 831.772 -6.41588 3993.46
0.9405 4000 612.31 -6.53532 4001.34
0.9405 5000 677.602 -6.2906 4985.63
0.9405 6000 739.407 -6.0333 5984.38
0.9405 7000 808.053 -5.76894 6981.67
0.9762 3000 221.865 -6.8933 3001.41
0.9762 4000 291.417 -6.64434 4006.45
0.9762 5000 350.578 -6.40108 4984.55
0.9762 6000 419.546 -6.14432 5979.58
0.9976 2000 34.2651 -7.13034 1974.88
0.9976 3000 108.04 -6.87786 2997.09
0.9976 4000 172.351 -6.63989 3990.22
0.9976 5000 244.691 -6.37916 4999.57
0.9908 3000 135.789 -6.88871 2995.68
0.9908 4000 202.693 -6.64532 3986.83
0.9908 5000 267.602 -6.39454 4994.87
0.9908 6000 331.678 -6.14024 5980.07
0.9976 2500 71.7655 -7.00387 2484.94
0.9976 3500 139.483 -6.766 3471.88
0.9908 3500 166.16 -6.7766 3463.25
0.9908 4500 236.173 -6.5187 4505.12
0.9762 3500 255.908 -6.77638 3473.65
0.9762 4500 320.985 -6.51997 4506.72
0.9405 3500 579.556 -6.66802 3479.85
0.9405 4500 642.816 -6.41843 4472.58
0.9236 4500 861.162 -6.30257 4451.59
0.9236 5500 931.639 -6.03257 5503.48
1.0233 2500 27.1699 -6.94582 2493.85
1.0233 3000 53.7429 -6.81882 3009.84
1.0233 2750 31.8185 -6.87639 2762.85
1.0233 3500 83.1219 -6.70482 3488.26
1.0233 3250 58.1179 -6.76294 3246.17
0.9106 4500 1072.45 -6.1588 4469.71
0.9106 5000 1106.51 -6.03139 4983.59
0.9106 5500 1139.94 -5.89458 5492.16
0.9106 7000 1237.08 -5.51877 6958.08
0.9106 6000 1170.03 -5.77777 5971.25
0.9106 7500 1287.96 -5.29561 7477.85
0.8939 5500 1465.45 -5.66668 5478.95
0.8939 6000 1493.36 -5.55066 5941.27
0.8939 6500 1531.12 -5.41462 6464.52
0.8939 7000 1563.11 -5.28328 6979.86
0.8939 7500 1595.75 -5.1562 7471.4
